x,z
-12.0,-2.127929918885501
-11.5,-1.877355751793396
-11.0,-1.6267815847012708
-10.5,-1.376207417609161
-10.0,-1.1256332505170445
-9.5,-0.8750590834249228
-9.0,-0.6244849163328103
-8.5,-0.3739107492406717
-8.0,-0.12333658214856424
-7.5,0.12723758494355802
-7.0,0.3778117520356744
-6.5,0.6283859191277834
-6.0,0.8789600862199152
-5.5,1.4004018966428635
-5.0,1.710686073336956
-4.5,1.9000073352645477
-4.0,2.007712747605411
-3.5,2.111721917648419
-3.0,2.1768444592092946
-2.5,2.159943695584496
-2.0,2.0630946512784956
-1.5,1.92989110678938
-1.0,1.8348987260405094
-0.5,1.8461791157324314
0.0,2.010587710988588
0.5,2.346822769018234
1.0,2.8371886232937475
1.5,3.4350425686990693
2.0,4.071595499338859
2.5,4.6707572602642875
3.0,5.186776854454129
3.5,5.616830392816416
4.0,6.00501721618676
4.5,6.418506179646837
5.0,6.74387535771548
5.5,6.935955762151574
6.0,6.8927400964307415
6.5,7.143314263522876
7.0,7.393888430614992
7.5,7.644462597707101
8.0,7.895036764799225
8.5,8.145610931891335
9.0,8.396185098983452
9.5,8.646759266075579
10.0,8.897333433167695
10.5,9.147907600259826
11.0,9.398481767351925
11.5,9.649055934444041
12.0,9.899630101536173
