x,z
-12.0,-1.9993572902661911
-11.5,-1.7492533223947304
-11.0,-1.4991493545232684
-10.5,-1.249045386651809
-10.0,-0.9989414187803483
-9.5,-0.7488374509088892
-9.0,-0.4987334830374272
-8.5,-0.24862951516596585
-8.0,0.0014744527054965373
-7.5,0.25157842057695545
-7.0,0.5016823884484158
-6.5,0.7517863563198756
-6.0,1.0018903241913366
-5.5,1.265050052597481
-5.0,1.5360417496462606
-4.5,1.8002769541798265
-4.0,2.0176325930393824
-3.5,2.134950759094879
-3.0,2.1619377218314124
-2.5,2.104123454484518
-2.0,1.9898522284861178
-1.5,1.8681376486021204
-1.0,1.79689268721389
-0.5,1.829094324726976
0.0,2.0016050290344327
0.5,2.3276381472560628
1.0,2.794717722109395
1.5,3.3665039135196024
2.0,3.9901022957733088
2.5,4.606998242503824
3.0,5.166582401794477
3.5,5.638404244874635
4.0,6.014762273636971
4.5,6.279554591322276
5.0,6.5059839059851745
5.5,6.7408350380881705
6.0,7.004385553106391
6.5,7.254489520977851
7.0,7.504593488849311
7.5,7.754697456720773
8.0,8.004801424592237
8.5,8.254905392463694
9.0,8.505009360335153
9.5,8.755113328206612
10.0,9.005217296078076
10.5,9.255321263949536
11.0,9.505425231820993
11.5,9.755529199692456
12.0,10.00563316756392
