x,z
0.0,-0.0026442477546999273
1.0,0.006072761168516514
2.0,-0.0004155829489449728
3.0,-0.012629611665434694
4.0,0.006798266565125962
5.0,0.12940003192707042
6.0,0.42685281104263006
7.0,0.917010916754436
8.0,1.5558314384800271
9.0,2.244642582363641
10.0,2.8799711290048466
11.0,3.4010361300157093
12.0,3.7756489131464246
13.0,3.9840167138372737
14.0,3.9840537309392166
15.0,3.7169446920251814
16.0,3.1921591328093846
17.0,2.5921575352696613
18.0,2.0270922517621663
19.0,1.3497991698561707
20.0,0.6725060879501306
21.0,-0.004786993956186345
22.0,-0.6820800758622352
23.0,-1.359373157768403
24.0,-2.0366662396745254
25.0,-2.7139593215807194
26.0,-3.3912524034868663
27.0,-4.068545485392885
28.0,-4.745838567299192
