x,z
-12.0,-2.029674594955742
-11.5,-1.77988778097163
-11.0,-1.5301009669875194
-10.5,-1.2803141530034066
-10.0,-1.0305273390192953
-9.5,-0.7807405250351835
-9.0,-0.5309537110510726
-8.5,-0.2811668970669599
-8.0,-0.03138008308284908
-7.5,0.2184067309012629
-7.0,0.468193544885375
-6.5,0.7179803588694859
-6.0,0.9677671728535975
-5.5,1.3169784093634085
-5.0,1.5707012838118113
-4.5,1.7830837208169472
-4.0,1.941800336325659
-3.5,2.116659393146581
-3.0,2.1840530111499774
-2.5,2.136770257263927
-2.0,2.008852568391101
-1.5,1.8654804771172175
-1.0,1.7790007731571267
-0.5,1.803026681773594
0.0,1.9692250167782066
0.5,2.290978820259569
1.0,2.7634628467285176
1.5,3.3586574245268945
2.0,4.020301580852339
2.5,4.665815699959523
3.0,5.209722857949684
3.5,5.605235455077134
4.0,5.858970614477228
4.5,6.292737568037881
5.0,6.654447213234595
5.5,6.92453481526736
6.0,6.962650708472274
6.5,7.212437522456391
7.0,7.462224336440497
7.5,7.712011150424612
8.0,7.961797964408722
8.5,8.211584778392835
9.0,8.461371592376945
9.5,8.711158406361058
10.0,8.960945220345167
10.5,9.21073203432928
11.0,9.460518848313393
11.5,9.7103056622975
12.0,9.960092476281618
